"maquina" "desviopadrao" "variancia" "max_autocorrelacao" "min_autocorrelacao" "grau_autocorrelacao" "tendencia"
"xsys1" "0.3022" "0.0913" "0.9666" "-0.2945" "0.9666" "Positiva"
"xsys2" "11.5608" "133.6518" "0.922" "-0.2688" "0.922" "Positiva"
"xsys3" "0.1117" "0.0125" "0.6316" "-0.0236" "0.6316" "Positiva"
"xsys4" "2.5512" "6.5085" "0.8273" "-0.2633" "0.8273" "Positiva"
"xsys5" "15.1927" "230.8177" "0.9931" "-0.4612" "0.9931" "Positiva"
"xsys6" "16.7752" "281.4085" "0.9222" "-0.3241" "0.9222" "Positiva"
"xsys7" "1.3381" "1.7904" "0.4711" "-0.2198" "0.4711" "Positiva"
"xsys8" "4.0489" "16.3938" "-1e-04" "-0.2377" "0.2377" "Negativa"
"xsys9" "9.9929" "99.8578" "0" "-0.1918" "0.1918" "Negativa"
"xsys10" "4.181" "17.4809" "0.6407" "-0.18" "0.6407" "Positiva"
"xsys11" "0.7064" "0.4989" "0.8521" "-0.1495" "0.8521" "Positiva"
"xsys12" "1.0038" "1.0077" "0.9884" "-0.2821" "0.9884" "Positiva"
"xsys13" "1.2865" "1.6551" "0.7757" "-0.213" "0.7757" "Positiva"
"xsys14" "1.1946" "1.4272" "0.4249" "-0.1388" "0.4249" "Positiva"
"xsys15" "0.965" "0.9313" "0.8781" "-0.0826" "0.8781" "Positiva"
"xsys16" "3.7246" "13.8727" "0.2936" "-0.1128" "0.2936" "Positiva"
"xsys17" "0.4133" "0.1708" "0.2757" "-0.0643" "0.2757" "Positiva"
"xsys18" "3.9567" "15.6552" "0" "-0.3474" "0.3474" "Negativa"
"xsys19" "0.5212" "0.2717" "0.9859" "-0.1282" "0.9859" "Positiva"
"xsys20" "0.1673" "0.028" "0.984" "-0.079" "0.984" "Positiva"
"xsys21" "0.4054" "0.1644" "0.7957" "-0.2361" "0.7957" "Positiva"
"xsys22" "0.423" "0.179" "0.8073" "-0.4413" "0.8073" "Positiva"
"xsys23" "0.5131" "0.2632" "0.9726" "-0.1393" "0.9726" "Positiva"
"xsys24" "0.3778" "0.1427" "0.5706" "-0.1157" "0.5706" "Positiva"
"xsys25" "0.985" "0.9703" "0.9928" "-0.135" "0.9928" "Positiva"
"xsys26" "0.7566" "0.5725" "0.9412" "-0.3789" "0.9412" "Positiva"
"xsys27" "1.9672" "3.8698" "0.7742" "-0.2228" "0.7742" "Positiva"
"xsys28" "1.2184" "1.4846" "0.9608" "-0.2923" "0.9608" "Positiva"
"xsys29" "1.3241" "1.7532" "0.9796" "-0.3499" "0.9796" "Positiva"
"xsys30" "1.5311" "2.3443" "0.6397" "-0.3675" "0.6397" "Positiva"
"xsys31" "1.0285" "1.0578" "0.9326" "-0.3564" "0.9326" "Positiva"
"xsys32" "0.5926" "0.3512" "0.9894" "-0.1284" "0.9894" "Positiva"
"xsys33" "0.6118" "0.3743" "0.9852" "-0.2296" "0.9852" "Positiva"
"xsys34" "0.5207" "0.2712" "0.986" "-0.2043" "0.986" "Positiva"
"xsys35" "0.6078" "0.3694" "0.997" "-0.2125" "0.997" "Positiva"
"xsys36" "0.6078" "0.3694" "0.997" "-0.2125" "0.997" "Positiva"
"xsys37" "1.7964" "3.2271" "0.2142" "-0.1096" "0.2142" "Positiva"
"xsys38" "0.761" "0.579" "0.996" "-0.2555" "0.996" "Positiva"
"xsys39" "0.2691" "0.0724" "0.99" "-0.3204" "0.99" "Positiva"
"xsys40" "1.3093" "1.7144" "0.918" "-0.2823" "0.918" "Positiva"
