"maquina" "desviopadrao" "variancia" "max_autocorrelacao" "min_autocorrelacao" "grau_autocorrelacao" "tendencia"
"xsys1" "0.309914177808345" "0.0960467976066223" "0.868315678978459" "-0.0819121098512873" "0.868315678978459" "Positiva"
"xsys2" "0.639480153919641" "0.408934867257088" "0.466422478925595" "-0.12632239515943" "0.466422478925595" "Positiva"
"xsys3" "0.426225216026783" "0.181667934777078" "0.0326527228459938" "-0.0289629109851244" "0.0326527228459938" "Positiva"
"xsys4" "1.55693911245971" "2.42405939990684" "0.854820477417765" "-0.106793803521265" "0.854820477417765" "Positiva"
"xsys5" "0.698098647085377" "0.487341721062434" "0.774653697663927" "-0.110065871937214" "0.774653697663927" "Positiva"
"xsys6" "0.801570256134511" "0.642514875519546" "0.699894921993284" "-0.0730039802026834" "0.699894921993284" "Positiva"
"xsys7" "0.091141588267556" "0.0083067891119327" "0.406405718337431" "-0.000980399561694224" "0.406405718337431" "Positiva"
"xsys8" "0.573872059645848" "0.329329140842168" "0.827800084345937" "-0.238721672179379" "0.827800084345937" "Positiva"
"xsys9" "0.643615931289998" "0.414241467010291" "0.590603635562109" "-0.0904030447237185" "0.590603635562109" "Positiva"
"xsys10" "5.03365847074565" "25.3377176001094" "0.508673911369723" "-0.119521920069846" "0.508673911369723" "Positiva"
"xsys11" "0.123829213762587" "0.0153336741810604" "0.175605058964478" "-0.00834848302162796" "0.175605058964478" "Positiva"
"xsys12" "0.0802761343677223" "0.0064442577490246" "0.269799104411902" "-0.000944336560724808" "0.269799104411902" "Positiva"
"xsys13" "0.95512653284748" "0.912266693749248" "0.65534207357086" "-0.158958005891093" "0.65534207357086" "Positiva"
"xsys14" "1.69074647048732" "2.85862362746533" "0.568029181978629" "-0.253557160972396" "0.568029181978629" "Positiva"
"xsys15" "0.262994436540676" "0.0691660736513476" "0.664459493362386" "-0.00446128956362055" "0.664459493362386" "Positiva"
"xsys16" "3.35220632921684" "11.2372872736415" "0.826793167044299" "-0.238754779654844" "0.826793167044299" "Positiva"
"xsys17" "0.681526464104041" "0.464478321274156" "0.809912086481974" "-0.159249258695852" "0.809912086481974" "Positiva"
"xsys18" "0.660996722987487" "0.436916667800197" "0.862029736158331" "-0.219248000111841" "0.862029736158331" "Positiva"
"xsys19" "0.136072238631119" "0.0185156541260842" "0.830915167325976" "-0.00682035037340484" "0.830915167325976" "Positiva"
"xsys20" "0.371119055696911" "0.137729353501367" "0.531716523185287" "-0.0502501732963263" "0.531716523185287" "Positiva"
"xsys21" "0.556490608429571" "0.309681797270314" "0.51894660381008" "-0.258237265745423" "0.51894660381008" "Positiva"
"xsys22" "0.489033383523068" "0.23915365020002" "0.339448074417394" "-0.184306314401328" "0.339448074417394" "Positiva"
"xsys23" "0.403379551820736" "0.162715062827098" "0.478386648145277" "-0.0565497532762751" "0.478386648145277" "Positiva"
"xsys24" "0.45723515535575" "0.209063987293197" "0.448580930578191" "-0.0413606318820478" "0.448580930578191" "Positiva"
"xsys25" "1.33422452278052" "1.7801550771889" "0.985207584748347" "-0.38159400737318" "0.985207584748347" "Positiva"
"xsys26" "0.761590906195273" "0.580020708399337" "0.941169261989255" "-0.102356590297893" "0.941169261989255" "Positiva"
"xsys27" "1.23903835492803" "1.53521604498275" "0.957426672772217" "-0.206942700303701" "0.957426672772217" "Positiva"
"xsys28" "0.990383363547314" "0.980859206791291" "0.416033115686697" "-0.130374238180701" "0.416033115686697" "Positiva"
"xsys29" "1.05774929963901" "1.11883358088681" "0.238524962467295" "-0.155823963385036" "0.238524962467295" "Positiva"
"xsys30" "0.653247394819437" "0.426732158838382" "0.842538280413704" "-0.288195077588888" "0.842538280413704" "Positiva"
"xsys31" "0.370948103282604" "0.137602495328961" "0.570477960544218" "-0.055300819693594" "0.570477960544218" "Positiva"
"xsys32" "0.364540025786119" "0.132889430400145" "0.843984819927818" "-0.0549961911109934" "0.843984819927818" "Positiva"
"xsys33" "0.122210555724417" "0.0149354199304707" "0.325115169485819" "-0.0043434342467794" "0.325115169485819" "Positiva"
"xsys34" "0.0256799968482877" "0.000659462238128066" "-7.63500481540979e-06" "-5.25671206382562e-05" "5.25671206382562e-05" "Negativa"
"xsys35" "0.233797884602853" "0.0546614508447689" "0.234932365561386" "-0.0121419789991045" "0.234932365561386" "Positiva"
"xsys36" "0.13990417469061" "0.0195731780958608" "0.392524672954969" "-0.0102438533028824" "0.392524672954969" "Positiva"
"xsys37" "0.0276445919235727" "0.000764223462620861" "0.19109794746558" "-0.000204635255168116" "0.19109794746558" "Positiva"
"xsys38" "0.0554609537215023" "0.00307591738769862" "0.160258526338981" "-0.000275399658596613" "0.160258526338981" "Positiva"
"xsys39" "0.0126218647250299" "0.000159311469136953" "-1.15935783945786e-06" "-1.28767804753068e-05" "1.28767804753068e-05" "Negativa"
"xsys40" "0.818181746609077" "0.66942137048428" "0.750149110229348" "-0.288695962693398" "0.750149110229348" "Positiva"
