"","porcentagem"
"abchlp186",0
"abcslp176",0
"abcslp177",0
"abcslp179",0
"abcslp180",0
"abcslp181",0
"abcslp182",0
"abcslp183",0
"abcslp186",0
"abcslp187",0.42985265855221
"abchlc130",0
"abchlc131",0
"abchlc168",0
"abchlc20",0
"abchlc202",0.0227975713140108
"abchlc207",0
"abchlc208",0.0330941911594538
"abchlc209",0
"abchlc211",0
"abchlc212",0
"abchlc213",0
"abchlc214",0
"abchlc217",0.00642543118025025
"abchlc218",0
"abchlc219",0
"abchlc22",0
"abchlc223",0
"abchlc224",0
"abchlc226",0
"abchlc50",0
"abchlc520",0.139356814701378
"abchlc521",0
"abchlc522",0
"abchlc523",0
"abchlc524",0
"abchlc525",0
"abchlc60",0
"abchlc600",0
"abchlc601",0
"abchlc61",0
"abchlc62",0
"abchlc65",0
"abchlc66",0
"abchlc67",0
"abchlc68",0
"abchlc690",0
"abchlc691",0
"abchlc700",0
"abchlc701",0
"abchlc702",0
"abchlc951",0
"abchlc970",0
"abchlc971",0
"abchlp143",0
"abchls160",0.537454795935939
"abchls161",0
"abchls162",0
"abchls163",0
"abchls164",0
"abchls215",0
"abchls216",0
"abchls520",0
"abchls521",0
"abchls690",0
"abchls800",0.224355458036204
"abcslc106",0
"abcslc204",0.000112019715469923
"abcslc46",0
"abchlc795",1.96512786449684
"abchlp795",1.96512786449684
"abchls795",1.96512786449684
"abchlp330",0
"abchlp331",0
"abchlp334",0
"abchlp335",0
"abchlp336",0
"abchlp337",0.000784665396256025
"abchlp338",0
"abchlp339",0
"abchlp340",0
"abchlp341",0
"abchlp342",0
"abchlp900",0
"abchlp21",0
"abchlp22",0
"abcslp114",0
"abcslp115",0
"abcslp116",0
"abcslp117",0
"abcslp118",0
"abchlp50",0
"abchlp51",0
"abchlp60",0
"abchlp61",0
"abchlp62",0
"abchlp63",0
"abchlp65",0
"abchlp66",0
"abchlp67",0
"abchlp68",0
"abchlp70",0
"abchlp71",0
"abchlp72",0
"abchlp73",0
"abchlp74",0
"abchlp75",0
"bcdhlc111",0
"bcdhlc121",0
"bcdhlc211",0
"bcdhlc212",0
"bcdhlc221",0
"bcdhlc311",0
"bcdhlc312",0
"bcdhlc321",0
"bcdhlc322",0
"bcdhlp111",0
"bcdhlp112",0.0203428571428571
"bcdhlp121",0
"bcdhlp211",0
"bcdhlp212",0
"bcdhlp213",0
"bcdhlp214",0
"bcdhlp215",0
"bcdhlp216",0
"bcdhlp221",0
"bcdhlp222",0
"bcdhlp223",0
"bcdhlp224",0
"bcdhlp231",0
"bcdhlp232",0
"bcdhlp233",0
"bcdhlp234",0.0137390711933689
"bcdhlp241",0
"bcdhlp242",0
"bcdhlp311",0
"bcdhlp312",0
"bcdhlp313",0
"bcdhlp314",0
"bcdhlp321",0
"bcdhlp322",0
"tathlp01",0
"abchlp141",0
"abchlp54",0
"abchlp55",0
"abchlp690",0
"abchlp691",0
"abchlp920",0.000448229493500672
"abchlp921",0.000448229493500672
"abchlp951",0
"abchlp952",0
"abchls125",0
"abchls200",0
"abchls580",0
"abchls950",0
"abcslp144",0
"abcslp145",0
"abcsls165",0
"lmfishlc01",0
"lmfishlc02",0
"lmfishlp01",0
"lmfishlp02",0
"lmfishlp03",0
"lmfishlp04",0
"lmsaphlc01",0
"lmsaphlc02",0
"lmsaphlp01",0
"lmsaphlp02",0
"abcslp173",0
"abcslp174",0
"abcslp188",0
"abcslp189",0
"abcslp201",0
"abcslp202",0
"abcslp203",0
"abcslp204",0
"abcslp205",0
"abcslp206",0
"abcslp207",0
"abcslp208",0
"abcslp209",0
"abcslp210",0
"abchlp168",0
"abchlp169",0
"abcslp46",0
"abcslp48",0
"abchlp504",0.000336134453781513
"abchlp505",0.000336134453781513
"abchlp506",0.000336134453781513
"abchlp507",0.000336134453781513
"abchlp508",0.000224064530584808
"abchlp509",0.000336134453781513
"abchlp510",0.000336134453781513
"abchlp511",0.000336134453781513
"abchlp512",0
"abchlp513",0
"abchlp520",0
"abchlp521",0
"abchlp522",0
"abchlp523",0
"abchlp524",0
"abchlp525",0
"abchlp526",0
"abchlp527",0
"abchlp528",0
"abchlp529",0
"abchlp531",0
"abchlp532",0
"abchlp533",0
"abchlp534",0
"abchlp535",0
"abchlp536",0
"abchlp537",0
"abchlp538",0
"abchlp539",0
"abchlp540",0
"abchlp541",0
"abchlp542",0
"abchlp543",0
"abchlp544",0
"abchlp545",0
"abchlp546",0
"abchlp547",0
"abchlp548",0
"abchlp549",0
"abchlp550",0
"abchlp551",0
"abchlp552",0
"abchlp553",0
"abchlp554",0
"abchlp555",0
"abchlp556",0
"abchlp557",0
"abchlp558",0
"abchlp559",0
"abchlp560",0
"abchlp561",0
"abchlp562",0
"abchlp563",0
"abchlp564",0
"abchlp577",0
"abchlp578",0
"abchlp579",0
"abchlp580",0
"abchlp581",0
"abchlp582",0
"abchlp583",0
"abchlp584",0
"abchlp585",0
"abchlp586",0
"abchlp749",0
"abchlp750",0
"abchlp751",0
"abchlp752",0
"abchlp753",0
"abchlp754",0
"abchlp755",0
"abchlp756",0
"abchlp757",0
"abchlp758",0
"abchlp759",0
"abchlp969",0
"abchlp970",0.000896860986547085
"abchlp971",0
"abchlp972",0
"abchlp973",0
"abchlp974",0
"abchlp975",0
"abchlp976",0
"abchlp977",0
"abchlp978",0
"abcvlc550",0
"abcvlc551",0
"abcvlc552",0
"abcvlc553",0
"abcvlc554",0
"abcvlc555",0
"abcvlc557",0
"abcvlc558",0
"abcvlc559",0
"abcvlc560",0
"abcvlc561",0
"abcvlc562",0
"abcvlc564",0
"abcvlc565",0
"abcvlc566",0
"abcvlc567",0
"abcvlc568",0
"abcvlc569",0
"abcvlc571",0
"abcvlc572",0
"abcvlc573",0
"abcvlc574",0
"abcvlc575",0
"abcvlc576",0
"abchlp246",0
"abchlp247",0
"abchlp248",0
"abchlp249",0.0408020517603171
"abchlp250",0
"abchlp251",0
"abchlp252",0
"abchlp253",0
"abchlp254",0
"abchlp255",0
"abchlp256",0
"abchlp257",0
"abchlp258",0
"abchlp259",0
"abchlp260",0
"abchlp261",0
"abchlp262",0
"abchlp263",0
"abchlp264",0
"abchlp265",0
"abchlp600",0
"abchlp601",0
"abchlp602",0
"abchlp603",0
"abchlp604",0
"abchlp605",0
"abchlp606",0
"abchlp607",0
"abchlp608",0
"abchlp609",0
"abchlp610",0
"abchlp611",0
"abchlp700",0
"abchlp701",0
"abchlp702",0
"abchlp703",0
"abchlp704",0
"abchlp705",0
"abchlp706",0
"abchlp707",0
"abchlp708",0
"abchlp709",0
"abchlp710",0
"abchlp711",0
"abchlp712",0
"abchlp713",0
"abchlp714",0
"abchlp715",0
"abchlp716",0
"abchlp717",0
"abchlp718",0
"abchlp719",0
"abchlp720",0
"abchlp721",0
"abchlp722",0
"abchlp723",0
"abchlp724",0
"abchlp725",0
"abchlp726",0
"abchlp727",0
"abchlp728",0
"abchlp729",0
"abchlp730",0
"abchlp731",0
"abchlp732",0
"abchlp733",0
"abchlp734",0
"abchlp735",0
"abchlp736",0
"abchlp737",0
"abchlp738",0
"abchlp739",0
"abchlp740",0
"abchlp741",0
"abchlp742",0
"abchlp743",0
"abchlp744",0
"abchlp745",0
"abchlp746",0
"abchlp747",0
"abchlp748",0
"abchlp450",0
"abchlp451",0
"abchlp452",0
"abchlp453",0
"abchlp454",0
"abchlp455",0
"abchlp456",0
"abchlp457",0
"abchlp458",0
"abchlp459",0
"abchlp460",0
"abchlp461",0
"abchlp462",0
"abchlp463",0
"abchlp464",0
