YYYYMMDDhhmm,UTIS,CPU_UTIL,MEM_UTIL,NET_UTIL,DISK_UTIL,CPU_ALLOC,MEM_ALLOC,PHYS_CPUS,PHYS_MEM
201106270835,1309181700,0.04320,1.82341,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270840,1309182000,0.05100,1.82341,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270845,1309182300,0.04620,1.82979,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270850,1309182600,0.05940,1.82660,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270855,1309182900,0.04560,1.82341,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270900,1309183200,0.05280,1.82341,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270905,1309183500,0.04860,1.82341,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270910,1309183800,0.05460,1.82979,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270915,1309184100,0.06720,1.87131,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270920,1309184400,0.05220,1.87131,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270925,1309184700,0.04140,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270930,1309185000,0.04920,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270935,1309185300,0.04500,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270940,1309185600,0.05220,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270945,1309185900,0.04800,1.83618,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270950,1309186200,0.05520,1.83937,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106270955,1309186500,0.06060,1.83618,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271000,1309186800,0.05340,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271005,1309187100,0.04800,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271010,1309187400,0.05220,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271015,1309187700,0.06240,1.87450,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271020,1309188000,0.05100,1.87450,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271025,1309188300,0.04200,1.86812,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271030,1309188600,0.05040,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271035,1309188900,0.04440,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271040,1309189200,0.05400,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271045,1309189500,0.04620,1.83937,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271050,1309189800,0.05520,1.83618,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271055,1309190100,0.04560,1.83618,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271100,1309190400,0.05220,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271105,1309190700,0.04620,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271110,1309191000,0.05280,1.83299,NaN,NaN,6.00000,31.93400,6.00000,31.93400
201106271115,1309191300,0.06240,1.87450,NaN,NaN,6.00000,31.93400,6.00000,31.93400
