YYYYMMDDhhmm,UTIS,CPU_UTIL,MEM_UTIL,NET_UTIL,DISK_UTIL,CPU_ALLOC,MEM_ALLOC,PHYS_CPUS,PHYS_MEM
201105080950,1304866200,0.35240,3.25948,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105080955,1304866500,0.32000,3.25948,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081000,1304866800,0.28960,4.26609,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081005,1304867100,0.23680,4.29006,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081010,1304867400,0.11200,4.30444,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081015,1304867700,0.11440,4.34278,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081020,1304868000,0.10600,4.33799,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081025,1304868300,0.12200,4.34278,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081030,1304868600,0.11600,4.34278,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081035,1304868900,0.11640,4.34278,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081040,1304869200,0.11640,4.34758,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081045,1304869500,0.12480,4.34758,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081050,1304869800,0.13200,4.34758,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081055,1304870100,0.11200,4.34278,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081100,1304870400,0.11760,4.35237,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081105,1304870700,0.13240,4.35716,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081110,1304871000,0.10200,4.36196,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081115,1304871300,0.10200,4.35716,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081120,1304871600,0.11440,4.35716,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081125,1304871900,0.11400,4.35237,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081130,1304872200,0.22720,6.19302,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081135,1304872500,0.12640,6.19302,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081140,1304872800,0.11480,6.20261,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081145,1304873100,0.11920,6.19781,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081150,1304873400,0.11760,6.19302,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081155,1304873700,0.11200,6.19302,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081200,1304874000,0.13280,6.17864,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081205,1304874300,0.11760,6.18343,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081210,1304874600,0.10360,6.18343,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081215,1304874900,0.11080,6.18823,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081220,1304875200,0.10480,6.18343,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081225,1304875500,0.11200,6.17864,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081230,1304875800,0.11160,6.17864,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081235,1304876100,0.11640,6.17864,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081240,1304876400,0.11040,6.18343,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081245,1304876700,0.12280,6.15947,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081250,1304877000,0.12360,6.18343,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081255,1304877300,0.11480,6.17864,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081300,1304877600,0.16000,6.15467,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081305,1304877900,0.12520,6.18343,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081310,1304878200,0.10560,6.18823,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081315,1304878500,0.11320,6.15947,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081320,1304878800,0.12240,6.27930,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081325,1304879100,0.35160,6.18823,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081330,1304879400,0.59760,6.44707,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081335,1304879700,0.18080,6.25533,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081340,1304880000,0.11640,6.25533,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081345,1304880300,0.12360,6.22657,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081350,1304880600,0.12120,6.25054,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081355,1304880900,0.11520,6.24575,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081400,1304881200,1.06880,6.24095,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081405,1304881500,1.12360,6.23616,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081410,1304881800,1.10640,6.24095,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081415,1304882100,1.16880,6.29368,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081420,1304882400,1.12480,6.33682,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081425,1304882700,1.17560,6.24575,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081430,1304883000,1.10400,6.21699,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081435,1304883300,1.13160,6.24575,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081440,1304883600,1.11160,6.25533,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081445,1304883900,1.11560,6.25054,NaN,NaN,4.00000,47.93400,4.00000,47.93400
201105081450,1304884200,1.13280,6.25054,NaN,NaN,4.00000,47.93400,4.00000,47.93400
