YYYYMMDDhhmm,UTIS,CPU_UTIL,MEM_UTIL,NET_UTIL,DISK_UTIL,CPU_ALLOC,MEM_ALLOC,PHYS_CPUS,PHYS_MEM
201105161615,1305580500,2.97400,20.34710,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161620,1305580800,6.75000,20.37574,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161625,1305581100,4.51800,20.30890,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161630,1305581400,7.08200,20.34710,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161635,1305581700,4.66000,20.30890,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161640,1305582000,6.53200,20.31845,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161645,1305582300,5.52600,20.32800,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161650,1305582600,5.89600,20.43303,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161655,1305582900,6.27600,20.41393,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161700,1305583200,3.06200,10.56025,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161705,1305583500,3.09600,16.21275,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161710,1305583800,2.00600,16.43236,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161715,1305584100,1.51600,16.43236,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161720,1305584400,1.63400,16.44190,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161725,1305584700,1.49200,16.45145,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161730,1305585000,3.44600,16.45145,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161735,1305585300,3.20800,16.44190,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161740,1305585600,2.89800,16.48010,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161745,1305585900,2.65400,16.48965,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161750,1305586200,2.72400,16.62332,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161755,1305586500,2.91600,16.62332,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161800,1305586800,3.93800,16.63287,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161805,1305587100,3.00200,16.64242,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161810,1305587400,5.40200,16.61377,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161815,1305587700,3.69000,16.62332,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161820,1305588000,2.94000,16.85248,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161825,1305588300,19.65000,20.98682,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161830,1305588600,19.62000,20.70993,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161835,1305588900,8.08200,17.25350,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161840,1305589200,6.86600,17.25350,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161845,1305589500,5.97400,17.28214,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161850,1305589800,5.68600,17.24395,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161855,1305590100,4.29000,17.24395,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161900,1305590400,8.13600,17.19621,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161905,1305590700,5.02400,17.21530,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161910,1305591000,12.49000,18.15102,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161915,1305591300,18.50000,17.73090,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161920,1305591600,16.28800,17.80729,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161925,1305591900,18.33000,19.33499,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161930,1305592200,19.59800,19.29680,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161935,1305592500,19.81200,19.99381,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161940,1305592800,19.96400,18.99126,NaN,NaN,20.00000,95.48100,24.00000,95.48100
201105161945,1305593100,19.98000,20.48077,NaN,NaN,20.00000,95.48100,24.00000,95.48100
