YYYYMMDDhhmm,UTIS,CPU_UTIL,MEM_UTIL,NET_UTIL,DISK_UTIL,CPU_ALLOC,MEM_ALLOC,PHYS_CPUS,PHYS_MEM
201109261215,1317057300,0.18875,5.54321,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261220,1317057600,0.23394,5.52403,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261225,1317057900,0.18948,5.54321,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261230,1317058200,0.22082,5.52403,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261235,1317058500,0.18365,5.50805,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261240,1317058800,0.17709,5.50805,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261245,1317059100,0.19895,5.51444,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261250,1317059400,0.32212,5.49206,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261255,1317059700,0.15158,5.48567,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261300,1317060000,0.18657,5.49846,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261305,1317060300,0.20260,5.51124,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261310,1317060600,0.15960,5.50485,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261315,1317060900,0.20916,5.52403,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261320,1317061200,0.15158,5.51764,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261325,1317061500,0.17563,5.52403,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261330,1317061800,0.21426,5.50485,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261335,1317062100,0.17782,5.50485,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261340,1317062400,0.15231,5.51444,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261345,1317062700,0.20114,5.51444,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261350,1317063000,0.16252,5.51444,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261355,1317063300,0.15669,5.52403,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261400,1317063600,0.19094,5.52723,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261405,1317063900,0.17199,5.50485,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261410,1317064200,0.15304,5.46969,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261415,1317064500,0.20551,5.48247,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261420,1317064800,0.15814,5.48567,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261425,1317065100,0.15523,5.46649,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261430,1317065400,0.20916,5.46649,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261435,1317065700,0.17345,5.47288,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261440,1317066000,0.17782,5.48567,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261445,1317066300,0.19823,5.51124,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261450,1317066600,0.16689,5.51124,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261455,1317066900,0.16980,5.51124,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261500,1317067200,0.19750,5.52083,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261505,1317067500,0.20697,5.58157,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261510,1317067800,0.15960,5.58797,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261515,1317068100,0.18802,5.56239,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261520,1317068400,0.18584,5.53362,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261525,1317068700,0.16252,5.50165,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261530,1317069000,0.21572,5.49846,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261535,1317069300,0.15013,5.45051,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261540,1317069600,0.19385,5.43772,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261545,1317069900,0.17782,5.45051,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261550,1317070200,0.15231,5.44731,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261555,1317070500,0.17636,5.40575,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261600,1317070800,0.17199,5.39296,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261605,1317071100,0.16325,5.39296,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261610,1317071400,0.15669,5.39296,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261615,1317071700,0.20770,5.39296,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261620,1317072000,0.15086,5.39616,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261625,1317072300,0.14794,5.39936,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261630,1317072600,0.25580,5.40575,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261635,1317072900,0.20916,5.40255,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261640,1317073200,0.14940,5.41534,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261645,1317073500,0.21280,5.47608,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261650,1317073800,0.18948,5.48567,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261655,1317074100,0.14430,5.48247,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261700,1317074400,0.17928,5.49846,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261705,1317074700,0.15158,5.48887,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261710,1317075000,0.14284,5.44411,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261715,1317075300,0.19750,5.38657,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261720,1317075600,0.14430,5.38977,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261725,1317075900,0.15231,5.37378,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261730,1317076200,0.15960,5.36739,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261735,1317076500,0.14284,5.37059,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261740,1317076800,0.13337,5.36100,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261745,1317077100,0.16980,5.35141,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261750,1317077400,0.13920,5.35780,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261755,1317077700,0.14430,5.32263,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261800,1317078000,0.15814,5.32263,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261805,1317078300,0.13920,5.31624,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261810,1317078600,0.13920,5.32583,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261815,1317078900,0.19094,5.31624,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261820,1317079200,0.13701,5.31944,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261825,1317079500,0.14430,5.32583,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261830,1317079800,0.17636,5.33862,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261835,1317080100,0.14138,5.32583,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261840,1317080400,0.13628,5.32583,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261845,1317080700,0.16252,5.32583,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261850,1317081000,0.13774,5.31944,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261855,1317081300,0.13920,5.31944,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261900,1317081600,0.15814,5.30345,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261905,1317081900,0.14284,5.30665,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261910,1317082200,0.14648,5.34181,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261915,1317082500,0.19312,5.33862,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261920,1317082800,0.13628,5.34181,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261925,1317083100,0.14138,5.34181,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261930,1317083400,0.15669,5.33542,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261935,1317083700,0.14357,5.34181,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261940,1317084000,0.13628,5.33862,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261945,1317084300,0.16470,5.34501,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261950,1317084600,0.13628,5.33862,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109261955,1317084900,0.13992,5.33542,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262000,1317085200,0.18584,5.34821,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262005,1317085500,0.14065,5.33542,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262010,1317085800,0.13628,5.31304,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262015,1317086100,0.16470,5.31944,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262020,1317086400,0.22446,5.31944,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262025,1317086700,0.13920,5.32263,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262030,1317087000,0.15960,5.32263,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262035,1317087300,0.14575,5.31624,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262040,1317087600,0.13555,5.31304,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262045,1317087900,0.16106,5.31304,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262050,1317088200,0.13701,5.31304,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262055,1317088500,0.14940,5.33542,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262100,1317088800,0.18584,5.33222,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262105,1317089100,0.14503,5.33862,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262110,1317089400,0.15377,5.33542,NaN,NaN,7.28773,31.96800,12.75353,31.96800
201109262115,1317089700,0.16543,5.33542,NaN,NaN,7.28773,31.96800,12.75353,31.96800
